person_id,name,team_id,team,team_abbreviation,position,rank,avg_speed,speed_runs,sprints,total_distance
436598,Yunus Musah,285023_43921,USA,USA,,2379,0.0,0.0,0.0,0.0
494311,Yuran Fernandes,285023_43850,Cabo Verde,CPV,,2380,0.0,0.0,0.0,0.0
495346,Yusuf Akcicek,285023_43972,Türkiye,TUR,,2382,0.0,0.0,0.0,0.0
484044,Yusuf Sari,285023_43972,Türkiye,TUR,,2383,0.0,0.0,0.0,0.0
522525,Yuto Tsunashima,285023_43819,Japan,JPN,,2384,0.0,0.0,0.0,0.0
518199,Zac Sapsford,285023_43976,Australia,AUS,,2386,0.0,0.0,0.0,0.0
430137,Zach Brault Guillard,285023_43899,Canada,CAN,,2387,0.0,0.0,0.0,0.0
511809,Zachary Athekame,285023_43971,Switzerland,SUI,,2388,0.0,0.0,0.0,0.0
368971,Zack Steffen,285023_43921,USA,USA,,2389,0.0,0.0,0.0,0.0
522691,Zaid Romero,285023_43922,Argentina,ARG,,2391,0.0,0.0,0.0,0.0
477360,Zakaria Hawsawi,285023_43835,Saudi Arabia,KSA,,2394,0.0,0.0,0.0,0.0
475979,Zavier Gozo,285023_43921,USA,USA,,2395,0.0,0.0,0.0,0.0
433461,Zizo,285023_43855,Egypt,EGY,fw,2403,5.61,101.0,50.0,9317.48
430140,Zorhan Bassong,285023_43899,Canada,CAN,,2404,0.0,0.0,0.0,0.0
