person_id,name,team_id,team,team_abbreviation,position,rank,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
390650,Eloy Room,285023_1895293,Curaçao,CUW,GK,744,0.0,0.0,0.0,0.0,0.0,0.0
424047,Jeremy Antonisse,285023_1895293,Curaçao,CUW,FW,744,0.0,0.0,0.0,0.0,0.0,0.0
466365,Kevin Felida,285023_1895293,Curaçao,CUW,MF,744,0.0,0.0,0.0,0.0,0.0,0.0
506473,Tyrese Noslin,285023_1895293,Curaçao,CUW,FW,744,0.0,2.0,0.0,0.0,0.0,0.0
466363,Jearl Margaritha,285023_1895293,Curaçao,CUW,FW,744,0.0,0.0,0.0,0.0,0.0,0.0
466359,Godfried Roemeratoe,285023_1895293,Curaçao,CUW,MF,744,0.0,0.0,0.0,0.0,0.0,0.0
485379,Shurandy Sambo,285023_1895293,Curaçao,CUW,DF,744,0.0,0.0,0.0,0.0,0.0,0.0
424056,Sontje Hansen,285023_1895293,Curaçao,CUW,FW,744,0.0,0.0,0.0,0.0,0.0,0.0
466370,Tyrick Bodak,285023_1895293,Curaçao,CUW,GK,744,0.0,0.0,0.0,0.0,0.0,0.0
430385,Kim Jingyu,285023_43822,Korea Republic,KOR,MF,744,0.0,1.0,0.0,0.0,0.0,0.0
419461,Salah Zakaria,285023_43834,Qatar,QAT,GK,744,0.0,0.0,0.0,0.0,0.0,0.0
385070,Mohammed Muntari,285023_43834,Qatar,QAT,FW,744,0.0,0.0,0.0,0.0,0.0,0.0
523333,Ala Alhajji,285023_43835,Saudi Arabia,KSA,MF,744,0.0,0.0,0.0,0.0,0.0,0.0
403335,Hassan Altambakti,285023_43835,Saudi Arabia,KSA,DF,744,0.0,1.0,0.0,0.0,0.0,0.0
364752,Vozinha,285023_43850,Cabo Verde,CPV,GK,744,0.0,3.0,0.0,0.0,0.0,0.0
448505,Saleh Hardani,285023_43817,IR Iran,IRN,DF,744,0.0,2.0,0.0,0.0,0.0,0.0
